merchant_id,ad_id,num_selected_slots,preferred_slot_1,bid_usd_1,preferred_slot_2,bid_usd_2,preferred_slot_3,bid_usd_3,preferred_slot_4,bid_usd_4,preferred_slot_5,bid_usd_5
M031,AD0001z98005d07132025,5,3,41,4,51,1,41,7,1,2,36
M010,AD0002z98115d07152025,4,4,46,6,51,1,21,2,41,,
M005,AD0003z98033d07132025,5,8,46,7,46,1,21,2,36,4,1
M045,AD0004z98052d07152025,2,4,6,3,21,,,,,,
M003,AD0005z98007d07132025,5,5,11,3,11,4,11,6,51,7,51
M044,AD0006z98115d07122025,1,3,51,,,,,,,,
M036,AD0007z98005d07162025,2,5,11,4,51,,,,,,
M031,AD0008z98004d07172025,5,4,51,3,36,6,26,2,1,7,6
M023,AD0009z98109d07152025,4,8,31,1,41,3,16,2,46,,
M030,AD0010z98005d07142025,4,8,26,3,46,6,6,7,51,,
M006,AD0011z98005d07122025,1,8,36,,,,,,,,
M006,AD0012z98109d07162025,2,8,36,7,51,,,,,,
M001,AD0013z98102d07162025,2,5,51,8,21,,,,,,
M026,AD0014z98008d07142025,4,2,31,3,26,5,31,6,31,,
M046,AD0015z98115d07122025,2,8,51,3,46,,,,,,
M006,AD0016z98033d07162025,5,1,1,7,6,5,51,4,6,2,41
M036,AD0017z98005d07132025,5,4,46,8,6,6,26,1,46,7,1
M025,AD0018z98101d07172025,1,8,11,,,,,,,,
M023,AD0019z98005d07142025,2,8,41,5,16,,,,,,
M032,AD0020z98033d07162025,5,7,41,6,36,1,51,8,51,4,41
M043,AD0021z98052d07162025,4,7,26,4,26,8,1,6,41,,
M003,AD0022z98101d07132025,5,7,46,8,1,6,31,2,51,5,46
M031,AD0023z98052d07172025,4,7,46,1,1,5,36,6,46,,
M039,AD0024z98007d07162025,1,1,31,,,,,,,,
M038,AD0025z98004d07162025,1,5,41,,,,,,,,
M009,AD0026z98102d07132025,3,3,21,2,41,4,6,,,,
M015,AD0027z98004d07132025,1,6,21,,,,,,,,
M002,AD0028z98004d07152025,3,6,21,4,26,5,51,,,,
M028,AD0029z98007d07132025,4,6,21,5,1,4,36,7,51,,
M044,AD0030z98115d07132025,4,3,11,2,11,8,46,6,26,,
M016,AD0031z98033d07142025,5,4,26,1,6,7,1,2,36,5,6
M004,AD0032z98052d07182025,4,7,41,3,41,2,46,8,26,,
M032,AD0033z98005d07122025,3,2,36,3,16,4,36,,,,
M038,AD0034z98004d07142025,3,7,11,6,6,5,31,,,,
M021,AD0035z98004d07122025,4,3,31,5,16,7,51,4,1,,
M021,AD0036z98004d07122025,1,2,51,,,,,,,,
M013,AD0037z98005d07152025,5,3,31,6,41,5,51,1,26,7,6
M011,AD0038z98052d07122025,5,2,16,3,26,4,51,6,21,7,26
M029,AD0039z98033d07142025,4,1,1,3,16,2,16,5,51,,
M027,AD0040z98115d07172025,2,6,11,2,21,,,,,,
M043,AD0041z98052d07182025,4,1,11,2,36,6,26,8,41,,
M042,AD0042z98033d07132025,1,5,1,,,,,,,,
M042,AD0043z98115d07152025,5,5,36,6,41,8,41,3,51,4,21
M027,AD0044z98005d07152025,5,8,6,5,41,2,41,3,51,1,51
M047,AD0045z98102d07122025,2,5,11,6,31,,,,,,
M047,AD0046z98052d07162025,4,1,51,7,16,2,41,3,46,,
M045,AD0047z98101d07122025,3,8,6,6,36,4,21,,,,
M043,AD0048z98052d07162025,5,7,26,5,11,2,26,3,46,8,26
M018,AD0049z98115d07122025,2,7,11,3,36,,,,,,
M026,AD0050z98007d07172025,5,3,21,6,51,2,11,4,6,5,46
M026,AD0051z98052d07122025,4,4,26,2,11,6,46,5,1,,
M035,AD0052z98008d07122025,2,3,46,1,36,,,,,,
M002,AD0053z98004d07142025,5,5,36,4,26,3,41,8,31,6,26
M039,AD0054z98007d07172025,2,8,11,3,21,,,,,,
M039,AD0055z98008d07122025,1,2,31,,,,,,,,
M020,AD0056z98007d07122025,5,5,21,3,36,8,31,7,46,6,41
M013,AD0057z98101d07182025,2,4,26,1,16,,,,,,
M020,AD0058z98007d07152025,3,5,16,6,1,7,26,,,,
M004,AD0059z98052d07122025,2,4,36,3,16,,,,,,
M006,AD0060z98005d07162025,2,4,16,8,36,,,,,,
M048,AD0061z98008d07122025,5,3,21,8,1,7,31,6,46,4,26
M027,AD0062z98115d07172025,2,7,36,3,51,,,,,,
M011,AD0063z98052d07152025,5,7,21,3,31,1,6,8,1,4,26
M018,AD0064z98115d07162025,3,5,41,2,6,3,11,,,,
M034,AD0065z98008d07172025,5,2,11,8,36,1,11,4,1,7,41
M014,AD0066z98005d07152025,3,1,51,5,51,3,46,,,,
M030,AD0067z98005d07132025,4,8,26,7,46,3,1,6,21,,
M002,AD0068z98004d07152025,5,4,16,1,21,7,51,5,26,3,51
M027,AD0069z98005d07152025,4,7,1,1,11,8,26,5,41,,
M050,AD0070z98008d07142025,4,3,51,2,21,8,26,4,11,,
M033,AD0071z98007d07132025,5,7,16,6,11,2,21,4,6,8,16
M005,AD0072z98052d07152025,3,8,1,7,36,2,16,,,,
M042,AD0073z98033d07162025,1,4,31,,,,,,,,
M005,AD0074z98005d07142025,2,1,51,5,16,,,,,,
M050,AD0075z98007d07182025,4,6,11,5,31,1,26,7,36,,
M024,AD0076z98033d07122025,4,5,51,3,46,6,36,7,31,,
M011,AD0077z98052d07132025,3,3,51,1,31,2,11,,,,
M011,AD0078z98052d07142025,3,6,36,1,26,7,21,,,,
M041,AD0079z98005d07122025,5,7,6,5,1,2,46,3,26,1,41
M008,AD0080z98008d07162025,1,8,26,,,,,,,,
M024,AD0081z98102d07152025,4,4,16,3,31,7,46,5,31,,
M028,AD0082z98007d07172025,2,3,21,5,11,,,,,,
M036,AD0083z98005d07172025,3,1,11,6,31,4,6,,,,
M014,AD0084z98008d07122025,4,1,46,5,51,2,31,4,16,,
M041,AD0085z98005d07182025,3,6,26,1,41,5,41,,,,
M045,AD0086z98101d07142025,3,8,21,4,51,1,31,,,,
M015,AD0087z98008d07172025,4,4,1,5,21,8,21,6,6,,
M044,AD0088z98115d07132025,3,7,1,5,51,6,1,,,,
M038,AD0089z98004d07132025,3,4,11,3,16,5,11,,,,
M007,AD0090z98008d07122025,3,3,41,1,6,8,21,,,,
M011,AD0091z98052d07152025,5,4,6,8,31,2,1,6,51,1,16
M007,AD0092z98052d07172025,3,6,21,2,46,3,21,,,,
M041,AD0093z98005d07172025,2,5,46,2,41,,,,,,
M038,AD0094z98004d07162025,5,8,41,6,21,4,1,3,51,5,41
M044,AD0095z98115d07172025,3,4,41,5,41,1,41,,,,
M026,AD0096z98052d07162025,4,3,36,1,16,7,6,6,41,,
M023,AD0097z98102d07162025,5,7,26,3,26,5,21,8,11,2,11
M031,AD0098z98005d07182025,5,7,46,5,31,1,16,8,21,4,31
M026,AD0099z98007d07182025,2,7,41,1,1,,,,,,
M013,AD0100z98007d07182025,2,5,11,7,1,,,,,,
M034,AD0101z98101d07152025,4,1,31,6,11,4,1,7,11,,
M008,AD0102z98052d07162025,2,6,6,3,51,,,,,,
M040,AD0103z98115d07152025,2,1,26,6,1,,,,,,
M024,AD0104z98007d07172025,4,7,1,2,31,8,31,5,51,,
M006,AD0105z98005d07172025,5,8,26,2,46,4,31,3,16,5,31
M027,AD0106z98115d07172025,2,1,36,4,36,,,,,,
M019,AD0107z98052d07152025,2,8,16,5,21,,,,,,
M017,AD0108z98004d07132025,1,8,46,,,,,,,,
M002,AD0109z98004d07182025,2,4,6,8,26,,,,,,
M043,AD0110z98052d07162025,4,3,11,4,41,5,46,6,1,,
M014,AD0111z98101d07172025,5,7,41,8,21,1,6,4,6,6,36
M002,AD0112z98004d07162025,1,1,31,,,,,,,,
M028,AD0113z98101d07122025,2,7,41,1,6,,,,,,
M005,AD0114z98052d07132025,3,3,1,8,36,5,16,,,,
M002,AD0115z98004d07162025,1,1,26,,,,,,,,
M014,AD0116z98115d07152025,3,2,41,1,51,4,46,,,,
M008,AD0117z98052d07172025,5,3,41,2,46,6,21,1,41,8,26
M001,AD0118z98102d07162025,2,3,21,8,36,,,,,,
M035,AD0119z98115d07162025,2,2,31,7,6,,,,,,
M008,AD0120z98101d07172025,5,5,1,1,11,4,16,6,36,2,36
